Название тура,Регион,Сезон,Кол-во туристов,Длительность,Цена,Оценка
Восхождение на Белуху за 10 дней,Алтай,Лето,12,3,244488.0,2
В Карелию летом на 4 дня,Карелия,Лето,10,19,757020.0,4
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Весна,9,5,208800.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Весна,7,13,310240.0,4
Сказочная осень в Татарстане,Татарстан,Осень,13,15,686140.0,3
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Зима,6,21,416454.0,4
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Осень,6,8,202848.0,4
Зеленая весна в Краснодаре,Краснодарский край,Весна,13,14,632319.9999999999,2
Калмыкия на 100%,Калмыкия,Весна,7,16,419440.0,3
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,3,4,74688.0,4
Поход к подножию Белухи. Алтай,Алтай,Лето,14,20,1108240.0,4
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Осень,6,18,381408.0,5
Московский калейдоскоп. Сокращенная программа,Москва,Осень,4,17,217072.0,5
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Лето,10,4,227680.0,5
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,3,19,270312.0,2
Ледовый экспресс Байкала,Байкал,Зима,13,7,465790.0,2
Сокровища Карелии и Соловки,Карелия,Лето,11,10,490380.0,4
Калининградская осень: природа и история,Калининградская область,Осень,10,15,546400.0,5
Урал: познайте дикие леса и горы,Свердловская область,Осень,10,18,613360.0,2
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,4,17,347496.0,2
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,6,10,276000.0,4
Урал: познайте дикие леса и горы,Свердловская область,Осень,10,3,185560.0,5
Центр России: экскурсии по Туле,Тульская область,Зима,6,18,352248.0,5
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Лето,14,10,624120.0,3
Северное сияние осенью: Мурманск,Мурманская область,Осень,1,11,45464.0,5
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,1,15,73240.0,4
